ja,yes," Ja, das ist richtig. ","Yes, that is correct."
das Schwimmen,swimming, Wir gehen oft Schwimmen im Sommer. ,We often go swimming in the summer.
das Laufen,running, Laufen ist gut für die Gesundheit. ,Running is good for your health.
das Kochen,cooking," Er mag es, neue Rezepte zu kochen. ",He likes cooking new recipes.
das Reisen,traveling, Reisen erweitert den Horizont. ,Traveling broadens your horizons.
das Fotografieren,photography, Fotografieren ist ihre Leidenschaft. ,Photography is her passion.
das Schreiben,writing, Ich verbringe Stunden mit Schreiben. ,I spend hours writing.
,,,
,,,
der Busfahrer,bus driver, Der Busfahrer war sehr freundlich. ,The bus driver was very friendly.
das Ticket,ticket, Hast du ein Ticket gekauft? ,Did you buy a ticket?
die Haltestelle,stop, Die Haltestelle ist gleich um die Ecke. ,The stop is just around the corner.
die Straße,street, Die Straße ist sehr befahren. ,The street is very busy.
die Kreuzung,intersection, An der Kreuzung biegen wir rechts ab. ,"At the intersection, we turn right."
der Fußgänger,pedestrian, Der Fußgänger überquert die Straße. ,The pedestrian is crossing the street.
die Ampel,traffic light," Warte, bis die Ampel grün wird. ",Wait until the traffic light turns green.
das Fahrrad,bicycle, Ich fahre gern mit dem Fahrrad. ,I like riding a bicycle.
der Führerschein,driver’s license, Ich muss meinen Führerschein erneuern. ,I need to renew my driver’s license.
der Verkehr,traffic, Der Verkehr ist heute besonders schlimm. ,The traffic is especially bad today.
,,,
,,,
freundlich,friendly, Der Kellner war sehr freundlich. ,The waiter was very friendly.
unfreundlich,unfriendly, Der Verkäufer war ziemlich unfreundlich. ,The salesperson was quite unfriendly.
schnell,fast, Dieses Auto ist wirklich schnell. ,This car is really fast.
langsam,slow, Die Schnecke ist sehr langsam. ,The snail is very slow.
leicht,easy, Diese Aufgabe ist leicht zu lösen. ,This task is easy to solve.
schwer,difficult, Das Problem ist ziemlich schwer. ,The problem is quite difficult.
interessant,interesting, Der Film war sehr interessant. ,The movie was very interesting.
langweilig,boring, Das Buch war leider ziemlich langweilig. ,The book was unfortunately quite boring.
sauber,clean, Das Hotelzimmer war sehr sauber. ,The hotel room was very clean.
schmutzig,dirty, Deine Schuhe sind total schmutzig. ,Your shoes are totally dirty.
,,,
,,,
der Kunde,customer, Der Kunde war mit dem Service zufrieden. ,The customer was satisfied with the service.
das Angebot,offer, Dieses Angebot gilt nur bis morgen. ,This offer is only valid until tomorrow.
der Rabatt,discount, Gibt es einen Rabatt auf diese Produkte? ,Is there a discount on these products?
die Rechnung,bill, Können Sie mir die Rechnung bringen? ,Can you bring me the bill?
die Quittung,receipt, Bewahren Sie die Quittung bitte auf. ,Please keep the receipt.
die Tüte,bag, Brauchen Sie eine Tüte? ,Do you need a bag?
das Regal,shelf, Die Ware steht im obersten Regal. ,The goods are on the top shelf.
der Verkäufer,salesperson, Der Verkäufer war sehr hilfsbereit. ,The salesperson was very helpful.
die Abteilung,department, Die Elektronik ist in der oberen Abteilung. ,Electronics are in the upper department.
der Einkauf,purchase, Mein Einkauf war heute günstig. ,My purchase was inexpensive today.
,,,
,,,
die Krankheit,illness, Die Krankheit verbreitete sich schnell. ,The illness spread quickly.
die Untersuchung,examination, Die Untersuchung dauerte etwa eine Stunde. ,The examination took about an hour.
die Behandlung,treatment, Die Behandlung war erfolgreich. ,The treatment was successful.
das Rezept,prescription, Der Arzt hat mir ein Rezept ausgestellt. ,The doctor issued me a prescription.
die Tablette,tablet, Nimm eine Tablette nach dem Essen. ,Take a tablet after eating.
die Salbe,ointment, Diese Salbe hilft gegen Schmerzen. ,This ointment helps with pain.
der Verband,bandage, Der Verband muss gewechselt werden. ,The bandage needs to be changed.
die Operation,operation, Die Operation verlief ohne Komplikationen. ,The operation went without complications.
der Patient,patient, Der Patient wird bald entlassen. ,The patient will be discharged soon.
die Notaufnahme,emergency room, Gehen Sie sofort in die Notaufnahme. ,Go to the emergency room immediately.
,,,
,,,
die Maus,mouse, Die Maus lief in die Ecke. ,The mouse ran into the corner.
das Pferd,horse, Pferde sind sehr intelligente Tiere. ,Horses are very intelligent animals.
die Kuh,cow, Auf der Weide grasen viele Kühe. ,Many cows are grazing in the meadow.
das Schwein,pig, Das Schwein liegt im Schlamm. ,The pig is lying in the mud.
das Schaf,sheep, Schafe haben weiche Wolle. ,Sheep have soft wool.
die Ente,duck, Die Ente schwimmt im Teich. ,The duck is swimming in the pond.
der Hase,hare, Der Hase versteckt sich im Gras. ,The hare is hiding in the grass.
die Ziege,goat, Die Ziege klettert auf den Felsen. ,The goat is climbing the rock.
der Wolf,wolf, Wölfe leben oft in Rudeln. ,Wolves often live in packs.
der Bär,bear, Der Bär suchte nach Honig. ,The bear was looking for honey.
,,,
,,,
der Geburtstag,birthday, Wann ist dein Geburtstag? ,When is your birthday?
Weihnachten,Christmas, Weihnachten ist meine Lieblingszeit im Jahr. ,Christmas is my favorite time of the year.
Ostern,Easter, An Ostern suchen wir bunte Eier. ,"At Easter, we search for colorful eggs."
das Fest,festival, Das Fest war ein großer Erfolg. ,The festival was a great success.
der Karneval,carnival, Karneval wird in vielen Städten gefeiert. ,Carnival is celebrated in many cities.
das Silvester,New Year’s Eve, An Silvester machen wir ein Feuerwerk. ,"On New Year’s Eve, we set off fireworks."
das Geschenk,gift, Ich habe ein tolles Geschenk bekommen. ,I received a great gift.
die Kerze,candle, Die Kerzen brennen auf dem Tisch. ,The candles are burning on the table.
die Party,party, Die Party war sehr lustig. ,The party was very fun.
der Feiertag,holiday, Morgen ist ein Feiertag. ,Tomorrow is a holiday.
,,,
,,,
enttäuscht,disappointed," Sie war enttäuscht, dass es regnete. ",She was disappointed that it rained.
stolz,proud, Er ist stolz auf seine Leistung. ,He is proud of his achievement.
verwirrt,confused, Ich war verwirrt von der Erklärung. ,I was confused by the explanation.
begeistert,enthusiastic, Die Kinder waren begeistert über das Geschenk. ,The children were enthusiastic about the gift.
erleichtert,relieved," Ich bin so erleichtert, dass alles gut lief. ",I’m so relieved that everything went well.
ängstlich,anxious, Vor der Prüfung war sie sehr ängstlich. ,She was very anxious before the exam.
zufrieden,satisfied, Ich bin mit meiner Arbeit zufrieden. ,I am satisfied with my work.
verliebt,in love, Er ist bis über beide Ohren verliebt. ,He is head over heels in love.
eifersüchtig,jealous, Sie ist eifersüchtig auf ihre Schwester. ,She is jealous of her sister.
gelangweilt,bored," Ich bin gelangweilt, lass uns etwas unternehmen. ","I’m bored, let’s do something."
,,,
,,,
die Sache,thing, Das ist meine Sache. ,That’s my thing.
das Ding,thing, Dieses Ding ist kaputt. ,This thing is broken.
der Fall,case, Im schlimmsten Fall rufen wir Hilfe. ,"In the worst case, we’ll call for help."
die Idee,idea, Das ist eine großartige Idee! ,That’s a great idea!
der Grund,reason, Was ist der Grund für deine Entscheidung? ,What is the reason for your decision?
die Möglichkeit,possibility, Gibt es eine andere Möglichkeit? ,Is there another possibility?
das Beispiel,example, Kannst du mir ein Beispiel geben? ,Can you give me an example?
die Frage,question, Ich habe eine Frage an dich. ,I have a question for you.
die Antwort,answer, Weißt du die Antwort? ,Do you know the answer?
der Unterschied,difference, Was ist der Unterschied zwischen diesen beiden? ,What’s the difference between these two?
,,,
,,,
Guten Morgen,Good morning, Guten Morgen! Hast du gut geschlafen? ,Good morning! Did you sleep well?
Guten Tag,Good day," Guten Tag, wie kann ich Ihnen helfen? ","Good day, how can I help you?"
Guten Abend,Good evening," Guten Abend, willkommen zum Konzert! ","Good evening, welcome to the concert!"
Gute Nacht,Good night, Gute Nacht und träum schön. ,Good night and sweet dreams.
Wie geht’s?,How are you?, Wie geht’s? Alles gut? ,How are you? All good?
Danke,Thank you, Danke für deine Hilfe. ,Thank you for your help.
Bitte,Please/You're welcome," Bitte, nimm Platz. ","Please, take a seat."
Entschuldigung,Excuse me," Entschuldigung, wo ist die Toilette? ","Excuse me, where is the restroom?"
Ich verstehe nicht,I don’t understand," Entschuldigung, ich verstehe nicht. ","Sorry, I don’t understand."
Bis bald!,See you soon!, Bis bald! Wir sehen uns nächste Woche. ,See you soon! We’ll meet next week.
,,,
,,,
der Freund,friend, Peter ist mein bester Freund. ,Peter is my best friend.
die Freundin,girlfriend, Meine Freundin liebt Blumen. ,My girlfriend loves flowers.
die Arbeit,work, Nach der Arbeit gehe ich ins Fitnessstudio. ,"After work, I go to the gym."
der Urlaub,vacation, Wir planen einen Urlaub in Italien. ,We’re planning a vacation in Italy.
der Plan,plan, Hast du einen Plan für heute Abend? ,Do you have a plan for tonight?
die Zeit,time," Ich habe keine Zeit, später zu sprechen. ",I don’t have time to talk later.
die Reise,trip, Die Reise nach Paris war fantastisch. ,The trip to Paris was fantastic.
die Sprache,language, Deutsch ist eine interessante Sprache. ,German is an interesting language.
das Ziel,goal," Mein Ziel ist es, fließend Deutsch zu sprechen. ",My goal is to speak German fluently.
das Glück,luck, Viel Glück bei der Prüfung! ,Good luck with the exam!
